WorkOrderId,ProjectId,Status,Severity,SystemArea,HoursOpen,OpenedDate
95,706,In Progress,Medium,Hydraulics,30,2026-04-04
96,388,In Progress,Critical,Avionics,82,2026-04-13
97,1149,Closed,Low,Hydraulics,114,2026-01-03
98,86,Closed,Low,Comms,26,2026-06-06
99,41,Blocked,Medium,Hydraulics,116,2025-06-22
100,789,In Progress,Critical,Power,90,2025-08-24
101,1176,Blocked,Critical,Hydraulics,61,2025-08-05
102,591,Blocked,Low,Hull,114,2025-07-24
103,189,Blocked,High,Hull,85,2026-02-09
104,753,Closed,Critical,Power,7,2025-11-30
105,780,In Progress,Critical,Power,83,2026-01-27
106,623,Blocked,High,Hydraulics,33,2025-07-06
107,677,Blocked,Low,Hull,84,2025-10-20
108,879,Blocked,Critical,Software,26,2025-09-16
109,549,Blocked,Medium,Software,95,2026-05-10
110,469,Closed,High,Comms,21,2026-01-20
111,853,In Progress,Critical,Hull,51,2026-06-15
112,614,In Progress,High,Hydraulics,4,2025-09-13
113,944,Blocked,Critical,Software,61,2025-07-14
114,10,In Progress,High,Hydraulics,99,2026-06-02
115,837,Blocked,Medium,Power,32,2025-09-01
116,882,Open,High,Power,4,2025-06-19
117,626,Open,High,Power,93,2025-09-25
118,66,Blocked,Medium,Hull,60,2026-03-07
119,339,Open,Low,Hull,26,2025-09-08
120,575,In Progress,Medium,Software,6,2025-12-11
121,958,In Progress,Critical,Comms,63,2025-12-19
122,291,Blocked,High,Comms,101,2025-07-11
123,708,In Progress,Low,Software,119,2026-06-12
124,59,Closed,Low,Hydraulics,43,2026-05-14
125,1146,Open,High,Power,5,2026-05-04
126,272,Blocked,Low,Power,3,2025-11-29
127,379,Blocked,Low,Hydraulics,44,2026-01-20
128,465,In Progress,Low,Hull,77,2026-04-11
129,543,In Progress,Medium,Hull,80,2025-11-27
130,678,Open,Medium,Comms,93,2026-06-14
131,206,In Progress,Low,Hydraulics,85,2026-05-05
132,723,Blocked,Low,Hydraulics,52,2025-07-28
133,734,Closed,Medium,Power,20,2025-11-21
134,1130,Closed,Critical,Hydraulics,104,2025-12-03
135,705,Open,Low,Software,47,2026-02-06
136,1016,In Progress,Medium,Software,92,2025-12-14
137,717,Blocked,High,Power,11,2026-01-24
138,532,Open,Critical,Software,106,2026-03-25
139,166,Blocked,Medium,Avionics,11,2026-05-23
140,977,Blocked,High,Power,41,2026-03-15
141,451,Open,Critical,Hull,18,2025-08-31
142,971,Open,Medium,Hull,59,2025-06-25
143,410,Closed,Medium,Power,50,2025-08-21
144,196,Open,Medium,Comms,41,2025-10-22
145,975,Closed,High,Comms,93,2025-12-04
146,342,Blocked,Critical,Avionics,23,2025-11-20
147,869,Blocked,Low,Software,16,2026-04-18
148,1047,Closed,Critical,Hydraulics,2,2026-01-30
149,122,In Progress,Critical,Avionics,78,2025-08-19
150,884,Open,Medium,Hydraulics,119,2026-05-13
151,689,Closed,Low,Comms,64,2025-12-12
152,122,Blocked,High,Avionics,92,2025-11-16
153,676,In Progress,Medium,Comms,91,2025-07-23
154,858,In Progress,Critical,Comms,103,2025-08-31
155,205,In Progress,Medium,Power,101,2025-10-05
156,470,Blocked,Low,Software,45,2026-01-13
157,186,In Progress,High,Avionics,19,2026-03-05
158,757,Closed,Medium,Power,47,2026-01-08
159,95,In Progress,Medium,Comms,31,2026-02-05
160,220,Blocked,Medium,Hydraulics,61,2026-05-28
161,741,Closed,High,Hull,60,2026-06-03
162,379,Open,Low,Comms,43,2026-05-24
163,600,Blocked,Low,Comms,34,2025-11-09
164,398,In Progress,Low,Comms,39,2025-07-10
165,510,Blocked,Critical,Hydraulics,118,2026-05-31
166,174,In Progress,Low,Comms,75,2026-01-21
167,991,Open,Critical,Comms,83,2026-03-08
168,220,Open,High,Hull,19,2026-04-21
169,1198,Closed,Low,Software,17,2025-06-29
170,799,Open,High,Hull,28,2026-05-10
171,332,Closed,Low,Hydraulics,88,2026-01-09
172,171,Closed,Low,Hydraulics,105,2026-05-02
173,319,Open,Medium,Software,71,2025-07-14
174,505,Open,Critical,Power,57,2025-10-03
175,447,Closed,Critical,Hull,15,2025-10-28
176,56,In Progress,High,Software,66,2025-08-31
177,925,Open,Critical,Hull,83,2025-11-24
178,599,Open,High,Power,111,2026-04-21
179,403,Blocked,Low,Power,41,2026-03-19
180,105,In Progress,Low,Avionics,17,2026-03-21
181,773,Closed,Medium,Software,79,2026-05-14
182,71,Blocked,Medium,Comms,45,2026-06-09
183,114,Blocked,Medium,Software,52,2025-08-20
184,927,Open,Critical,Hydraulics,84,2026-06-02
185,98,Open,High,Software,100,2026-05-24
186,422,Closed,High,Comms,89,2026-03-24
187,941,Blocked,High,Comms,9,2025-10-24
188,1099,In Progress,Medium,Hull,70,2025-11-20
189,1035,Open,Low,Avionics,114,2025-10-08
190,499,Closed,Medium,Hydraulics,10,2025-12-15
191,100,Open,High,Hydraulics,32,2025-11-16
192,576,Open,Critical,Avionics,70,2025-10-25
193,636,In Progress,Medium,Avionics,13,2026-02-14
194,482,Blocked,Medium,Hydraulics,23,2026-02-19
195,65,Open,Medium,Comms,50,2025-12-11
196,1072,Closed,Low,Hydraulics,54,2025-06-18
197,19,Open,Medium,Comms,90,2025-07-29
198,981,Closed,Medium,Software,2,2025-11-12
199,955,Closed,High,Hull,62,2025-10-28
200,378,Open,Low,Avionics,46,2026-04-16
201,266,Blocked,Low,Comms,92,2025-11-08
202,205,Closed,Low,Avionics,59,2026-01-21
203,234,In Progress,Critical,Power,72,2026-03-26
204,748,Blocked,Low,Avionics,24,2025-11-14
205,444,Open,Critical,Software,48,2025-09-27
206,166,Open,Low,Software,34,2025-10-18
207,623,Blocked,High,Power,54,2025-07-23
208,968,Closed,Medium,Power,44,2026-01-16
209,798,In Progress,Low,Hull,55,2025-06-18
210,1021,In Progress,Low,Hull,58,2026-01-27
211,239,In Progress,Critical,Hull,31,2026-05-01
212,1198,Closed,High,Avionics,18,2026-04-20
213,823,Closed,Critical,Software,29,2025-11-14
214,52,Blocked,High,Hull,27,2025-11-30
215,940,In Progress,Low,Software,109,2025-10-08
216,1075,Blocked,Critical,Avionics,22,2025-08-16
217,287,Blocked,Medium,Comms,49,2025-09-20
218,141,Blocked,High,Hull,114,2026-06-01
219,781,Closed,Medium,Hull,27,2025-12-16
220,448,Blocked,Low,Comms,15,2025-10-25
221,147,Closed,Critical,Avionics,88,2026-04-22
222,611,Open,Medium,Power,24,2026-01-02
223,606,Open,Medium,Software,51,2026-03-30
224,1090,In Progress,Critical,Hull,34,2025-10-04
225,982,Blocked,Low,Hull,41,2025-11-09
226,773,Closed,Critical,Avionics,28,2026-04-19
227,773,Open,Medium,Avionics,36,2026-02-24
228,1109,Closed,Medium,Comms,78,2026-02-01
229,467,In Progress,Critical,Comms,108,2025-09-05
230,162,In Progress,High,Comms,19,2026-03-01
231,233,Closed,Medium,Avionics,50,2026-04-11
232,676,Blocked,Medium,Avionics,6,2025-08-22
233,542,Closed,Low,Comms,120,2025-10-30
234,298,Open,Low,Software,58,2026-03-05
235,349,In Progress,Medium,Power,62,2025-07-24
236,255,Open,Medium,Avionics,69,2025-08-07
237,234,Closed,Critical,Comms,7,2025-12-03
238,984,Closed,High,Software,79,2025-06-17
239,1067,Closed,High,Power,75,2026-04-04
240,920,Blocked,Low,Hydraulics,120,2026-02-05
241,277,Closed,Low,Avionics,15,2025-06-27
242,572,Blocked,Critical,Hull,46,2026-01-27
243,1059,Open,Low,Avionics,56,2025-08-21
244,158,In Progress,Critical,Comms,103,2025-08-19
245,642,In Progress,Critical,Avionics,53,2025-08-23
246,410,In Progress,Low,Software,60,2026-03-27
247,751,Closed,High,Hydraulics,96,2025-09-06
248,849,Closed,Low,Software,40,2025-06-21
249,841,Closed,Medium,Software,65,2026-01-15
250,146,In Progress,Low,Software,110,2026-02-17
251,1190,Closed,Low,Software,22,2025-09-27
252,97,In Progress,Low,Comms,106,2026-02-27
253,27,Open,Critical,Hull,64,2025-11-03
254,713,In Progress,Medium,Avionics,50,2026-06-12
255,455,Closed,Medium,Avionics,103,2026-04-20
256,496,Closed,Low,Software,111,2026-05-10
257,1080,Blocked,High,Software,5,2025-11-01
258,93,Open,High,Hydraulics,61,2025-10-13
259,335,Blocked,High,Power,67,2026-03-06
260,682,Blocked,Medium,Comms,54,2026-05-06
261,481,In Progress,Low,Hull,109,2025-10-02
262,571,In Progress,Medium,Hydraulics,117,2025-12-03
263,660,Open,High,Hull,104,2026-01-18
264,558,In Progress,Low,Power,72,2025-12-06
265,137,Closed,High,Hull,115,2025-07-20
266,368,In Progress,Low,Comms,25,2026-02-16
267,832,Open,Low,Comms,70,2025-08-04
268,810,Blocked,Medium,Power,34,2026-01-21
269,201,Blocked,Medium,Power,30,2025-10-15
270,193,Closed,High,Hydraulics,100,2025-10-29
271,108,Open,Medium,Hull,77,2026-04-06
272,820,Open,High,Comms,76,2026-01-21
273,878,Blocked,High,Software,69,2026-03-10
274,952,Blocked,Medium,Comms,5,2026-01-02
275,1152,Open,Medium,Hull,62,2025-09-06
276,386,Open,High,Hull,52,2026-02-02
277,1041,Open,Low,Hydraulics,28,2026-04-28
278,964,Closed,Medium,Hull,4,2025-10-15
279,980,Open,Medium,Hull,85,2026-04-28
280,464,Open,High,Comms,118,2025-10-02
281,370,In Progress,High,Comms,22,2026-01-25
282,350,Open,High,Comms,79,2026-04-18
283,1076,Open,Medium,Hull,87,2026-02-21
284,504,In Progress,Medium,Hull,41,2026-04-20
285,632,Open,Low,Software,13,2025-07-11
286,635,Blocked,High,Hydraulics,38,2026-01-18
287,1133,In Progress,High,Comms,86,2025-09-06
288,64,Blocked,Medium,Hydraulics,104,2025-10-22
289,754,Blocked,Low,Hull,53,2026-03-22
290,719,Open,Low,Comms,95,2026-02-08
291,1055,Open,Critical,Power,54,2026-03-03
292,562,Blocked,Low,Avionics,40,2025-08-08
293,1014,In Progress,High,Software,70,2026-01-03
294,134,Closed,Medium,Avionics,41,2025-12-06
295,638,Blocked,Medium,Power,12,2026-02-20
296,115,Closed,Medium,Avionics,86,2025-07-15
297,145,In Progress,Low,Power,50,2026-06-13
298,655,In Progress,High,Comms,74,2026-01-11
299,360,In Progress,Low,Hydraulics,62,2025-07-03
300,783,Closed,Critical,Software,85,2026-01-03
301,868,In Progress,Medium,Software,45,2025-12-15
302,479,Closed,Medium,Avionics,73,2025-10-05
303,513,Open,Low,Comms,106,2026-01-12
304,1110,Open,Medium,Software,102,2025-09-16
305,473,In Progress,High,Power,84,2025-07-10
306,305,Open,High,Hull,55,2025-07-16
307,364,Blocked,Medium,Hull,25,2026-05-09
308,413,In Progress,High,Hydraulics,33,2025-11-18
309,428,Blocked,Critical,Avionics,95,2025-09-01
310,1079,Closed,Critical,Software,33,2026-04-23
311,77,Blocked,Critical,Power,23,2026-01-09
312,583,In Progress,Medium,Hull,80,2026-01-25
313,274,Blocked,High,Avionics,58,2025-07-22
314,551,Blocked,Medium,Avionics,74,2026-04-30
315,712,Blocked,Medium,Software,35,2025-10-09
316,983,In Progress,Low,Software,55,2025-06-18
317,865,Blocked,High,Hydraulics,42,2026-02-17
318,197,Closed,Critical,Power,6,2026-03-18
319,530,Open,Critical,Software,67,2026-01-23
320,413,Open,Low,Software,103,2025-11-06
321,697,In Progress,High,Software,66,2026-04-23
322,933,Blocked,Medium,Power,95,2026-01-28
323,824,Closed,Critical,Hull,58,2025-11-29
324,1104,Closed,High,Avionics,53,2026-02-08
325,219,Open,Critical,Hull,75,2025-09-23
326,106,Blocked,Low,Software,57,2025-06-27
327,169,Open,Low,Hydraulics,103,2026-03-01
328,1073,Closed,High,Avionics,44,2026-01-28
329,804,Blocked,Critical,Hull,56,2025-10-28
330,668,Blocked,Low,Avionics,70,2025-12-23
331,1035,Open,Critical,Comms,13,2025-09-20
332,788,Blocked,Critical,Power,73,2026-02-17
333,371,Blocked,Medium,Comms,27,2025-10-01
334,754,Blocked,Critical,Avionics,114,2026-01-22
335,570,Open,High,Comms,43,2025-09-24
336,838,In Progress,Critical,Hull,44,2025-07-19
337,637,In Progress,Low,Comms,96,2026-03-05
338,542,Closed,Medium,Avionics,61,2025-08-15
339,1100,Blocked,Medium,Hull,16,2026-02-18
340,616,In Progress,Low,Power,8,2026-05-13
341,493,Closed,High,Hull,96,2026-04-09
342,354,Blocked,Critical,Software,102,2026-05-02
343,147,In Progress,Critical,Software,83,2025-08-24
344,589,Closed,Medium,Software,112,2026-01-31
345,107,In Progress,Critical,Power,66,2026-05-29
346,719,Open,Medium,Comms,108,2025-10-11
347,174,Open,Low,Hydraulics,57,2026-01-11
348,1125,Blocked,Critical,Avionics,104,2026-04-17
349,427,Blocked,Low,Comms,118,2026-01-02
350,1032,In Progress,High,Comms,63,2025-08-19
351,942,Closed,High,Hull,7,2025-10-15
352,443,Blocked,Critical,Hull,19,2026-03-01
353,106,Closed,Medium,Hydraulics,33,2025-10-08
354,623,In Progress,High,Comms,77,2025-10-17
355,529,Closed,Critical,Comms,95,2026-05-06
356,501,Open,Medium,Software,10,2026-01-24
357,309,In Progress,Medium,Power,57,2026-01-12
358,864,Closed,Low,Comms,108,2025-12-01
359,98,In Progress,Critical,Avionics,114,2026-04-17
360,915,Blocked,High,Power,60,2026-03-21
361,946,In Progress,Critical,Comms,53,2026-06-10
362,279,In Progress,Critical,Hull,57,2026-06-10
363,1103,Open,High,Software,79,2026-04-25
364,1136,Closed,Critical,Power,101,2026-04-15
365,1016,Blocked,High,Comms,37,2026-01-14
366,491,Blocked,High,Hydraulics,76,2025-11-02
367,726,Closed,Medium,Comms,59,2026-05-12
368,520,In Progress,Low,Hull,50,2026-06-12
369,954,Closed,Critical,Power,4,2026-02-20
370,544,Open,Medium,Hull,54,2025-07-20
371,957,Open,High,Power,77,2026-02-16
372,912,In Progress,High,Power,12,2026-01-17
373,156,Closed,High,Hydraulics,84,2025-07-28
374,426,Open,Low,Avionics,83,2026-03-21
375,96,Open,High,Hull,48,2026-04-10
376,816,In Progress,High,Hydraulics,96,2025-08-18
377,595,Blocked,High,Hydraulics,68,2025-12-31
378,684,Blocked,Critical,Hydraulics,44,2026-03-31
379,370,In Progress,Medium,Hull,56,2026-01-06
380,66,Open,Low,Power,60,2025-11-02
381,60,Open,Low,Avionics,95,2026-01-22
382,503,Blocked,High,Hull,10,2026-06-09
383,162,Blocked,Critical,Avionics,12,2026-03-30
384,1122,Blocked,Low,Software,28,2026-01-17
385,918,Closed,High,Hull,10,2025-10-28
386,639,Closed,High,Hull,55,2026-06-05
387,191,Closed,Critical,Comms,1,2025-12-10
388,575,Closed,Critical,Hull,86,2026-03-13
389,786,Open,Medium,Comms,48,2026-02-25
390,273,Closed,High,Power,77,2026-01-15
391,768,Open,Low,Power,92,2026-04-21
392,337,In Progress,Medium,Avionics,94,2026-05-06
393,370,Closed,Medium,Hull,117,2025-11-15
394,586,Blocked,Low,Power,108,2026-04-19
395,986,Closed,Medium,Hydraulics,118,2025-07-27
396,319,Blocked,Low,Avionics,46,2025-10-31
397,138,Open,Medium,Software,50,2026-01-08
398,771,Blocked,Low,Hull,40,2026-02-17
399,924,In Progress,Medium,Software,76,2025-09-16
400,185,Closed,High,Comms,95,2025-06-27
401,1025,In Progress,High,Power,59,2026-05-06
402,613,In Progress,High,Avionics,25,2026-04-23
403,671,Blocked,High,Avionics,3,2026-02-07
404,341,Closed,Medium,Comms,29,2025-12-15
405,732,Closed,Low,Hull,40,2025-08-01
406,1018,Blocked,Critical,Avionics,27,2025-06-20
407,185,Blocked,Medium,Avionics,65,2026-03-03
408,385,In Progress,Low,Power,66,2025-10-24
409,766,Blocked,Medium,Hull,99,2025-07-15
410,652,Blocked,Low,Hydraulics,80,2025-08-06
411,1080,In Progress,High,Comms,16,2026-05-19
412,1002,Blocked,High,Software,104,2026-03-22
413,119,Open,High,Hydraulics,71,2025-09-19
414,769,Blocked,High,Software,108,2026-06-14
415,227,Closed,Critical,Power,98,2026-03-02
416,365,In Progress,Medium,Avionics,76,2025-11-04
417,452,Open,High,Software,115,2025-07-27
418,85,In Progress,Low,Software,9,2026-05-30
419,529,In Progress,Critical,Power,17,2025-12-05
420,355,In Progress,High,Avionics,89,2026-02-28
421,758,In Progress,Critical,Avionics,108,2026-01-22
422,209,Open,Medium,Software,41,2026-05-04
423,317,In Progress,Critical,Power,12,2026-01-08
424,179,Closed,High,Avionics,26,2026-05-21
425,511,Blocked,Low,Comms,46,2026-02-13
426,743,Open,Medium,Avionics,42,2025-08-29
427,458,In Progress,Low,Avionics,104,2025-12-07
428,630,Open,High,Hull,57,2026-01-09
429,1092,Open,Low,Avionics,79,2025-12-20
430,835,Blocked,High,Comms,99,2026-03-07
431,641,Closed,High,Hull,95,2026-01-19
432,886,Blocked,Medium,Power,114,2025-07-18
433,622,In Progress,Low,Software,76,2026-03-11
434,202,Closed,Medium,Software,110,2026-03-12
435,547,In Progress,High,Avionics,54,2026-05-08
436,629,Open,Low,Avionics,54,2025-12-26
437,215,Closed,Critical,Comms,79,2026-04-30
438,192,Open,Low,Comms,94,2025-07-28
439,1079,In Progress,Medium,Comms,33,2025-12-22
440,275,Closed,Low,Software,19,2026-02-01
441,855,In Progress,Medium,Comms,11,2026-02-13
442,1023,Closed,High,Hydraulics,84,2026-04-25
443,781,In Progress,Critical,Avionics,68,2026-02-20
444,397,Closed,High,Software,103,2025-07-30
445,177,Open,Low,Power,73,2025-09-09
446,472,Blocked,Medium,Hull,17,2026-04-03
447,272,Open,Critical,Comms,26,2026-01-25
448,324,Open,Medium,Avionics,83,2026-05-03
449,949,Blocked,High,Software,64,2026-05-24
450,264,In Progress,High,Software,60,2025-09-01
451,251,Blocked,Medium,Avionics,38,2025-07-21
452,686,Open,Medium,Power,87,2025-09-10
453,1049,In Progress,Low,Comms,67,2025-09-25
454,819,Closed,Low,Avionics,37,2026-02-01
455,1132,In Progress,Low,Hydraulics,34,2025-11-25
456,27,Blocked,Critical,Power,114,2026-02-16
457,978,Closed,High,Hull,89,2026-05-03
458,699,Open,Low,Power,112,2026-03-22
459,171,Closed,High,Hull,89,2025-08-08
460,532,Open,Medium,Avionics,116,2025-12-17
461,797,Blocked,High,Hull,104,2026-03-25
462,276,Closed,Medium,Software,66,2025-11-15
463,1046,Closed,Critical,Power,55,2025-09-14
464,487,In Progress,Low,Hull,85,2025-12-20
465,108,In Progress,Critical,Hydraulics,108,2026-03-21
466,48,Open,Low,Comms,112,2026-01-27
467,397,Open,Critical,Power,62,2025-07-01
468,568,Open,Critical,Software,79,2025-12-21
469,32,Open,Medium,Hydraulics,43,2025-07-12
470,249,Blocked,High,Comms,32,2026-02-18
471,1148,Blocked,Medium,Power,10,2025-08-18
472,250,Closed,High,Software,94,2026-03-12
473,98,In Progress,High,Power,57,2026-04-16
474,263,Blocked,Medium,Avionics,95,2026-05-25
475,838,In Progress,Critical,Comms,8,2025-08-22
476,1156,In Progress,High,Hydraulics,85,2025-07-06
477,807,Open,Critical,Software,33,2025-09-27
478,1046,Closed,Critical,Power,49,2025-10-02
479,306,Blocked,Medium,Comms,85,2026-04-10
480,1096,In Progress,Medium,Software,116,2025-09-12
481,338,Open,Low,Software,28,2025-10-11
482,316,Blocked,Medium,Hydraulics,6,2026-01-23
483,895,Closed,High,Software,94,2025-12-21
484,611,Closed,Critical,Hull,82,2026-05-03
485,1015,Closed,Low,Power,42,2026-01-08
486,1130,Closed,Medium,Power,94,2025-11-15
487,575,Closed,High,Power,19,2025-09-18
488,163,Blocked,Medium,Comms,26,2025-10-23
489,167,Blocked,Critical,Power,88,2025-07-27
490,676,Closed,Medium,Power,69,2026-03-20
491,937,Open,High,Comms,9,2026-04-05
492,597,In Progress,Critical,Hull,57,2026-06-06
493,662,Open,Low,Software,80,2026-02-16
494,1010,Blocked,Critical,Power,29,2025-10-19
495,550,Blocked,Critical,Power,10,2026-01-30
496,734,Blocked,Critical,Avionics,79,2025-06-23
497,826,Closed,Critical,Hydraulics,120,2026-02-28
498,17,In Progress,Low,Power,95,2026-04-28
499,1033,Open,Medium,Avionics,51,2025-08-24
500,393,Open,Low,Comms,42,2025-10-02
501,1179,In Progress,Critical,Hydraulics,119,2025-08-04
502,576,In Progress,Medium,Software,36,2026-03-23
503,1109,Blocked,Medium,Comms,77,2025-12-15
504,343,Closed,Critical,Hull,71,2026-03-01
505,100,Closed,High,Comms,89,2025-12-30
506,101,Open,Low,Power,2,2026-03-29
507,418,Blocked,Medium,Software,1,2026-04-15
508,148,In Progress,High,Hull,96,2026-06-11
509,496,Closed,High,Hull,96,2026-04-23
510,996,Blocked,Low,Power,34,2026-03-30
511,559,Open,Critical,Power,32,2025-09-12
512,1200,Closed,Medium,Avionics,79,2025-12-13
513,896,Blocked,Critical,Comms,106,2025-09-25
514,826,Closed,Medium,Hydraulics,7,2025-09-18
515,682,Closed,Medium,Comms,110,2025-09-06
516,613,Open,Low,Software,89,2026-05-07
517,314,Closed,High,Hull,95,2025-07-08
518,315,Open,High,Hydraulics,11,2025-10-19
519,732,In Progress,High,Software,32,2026-02-15
520,41,Closed,Critical,Power,112,2026-01-12
521,656,Open,Medium,Hydraulics,50,2025-10-16
522,374,Blocked,Critical,Hydraulics,78,2026-04-07
523,760,Closed,Critical,Comms,66,2025-07-20
524,547,Closed,High,Avionics,58,2025-09-06
525,1150,Closed,Low,Power,11,2025-09-14
526,1153,Open,Low,Hull,62,2025-10-21
527,768,Open,High,Hydraulics,74,2025-07-29
528,568,Open,High,Power,78,2025-11-13
529,339,In Progress,High,Comms,13,2025-08-15
530,880,In Progress,High,Software,98,2025-08-15
531,501,Closed,High,Power,57,2025-07-16
532,912,Blocked,Critical,Hull,100,2026-05-03
533,654,Closed,Low,Avionics,47,2026-04-25
534,668,Blocked,High,Comms,102,2026-01-26
535,431,In Progress,High,Hull,69,2026-05-21
536,965,Open,Critical,Power,111,2025-12-11
537,841,In Progress,Medium,Comms,1,2025-11-16
538,1193,Open,High,Hull,52,2025-10-29
539,494,Open,High,Power,27,2025-09-30
540,738,Closed,Critical,Avionics,7,2025-08-20
541,98,Open,Low,Power,83,2025-07-20
542,517,Closed,Critical,Hydraulics,99,2026-05-30
543,590,In Progress,High,Comms,10,2025-06-20
544,538,In Progress,Critical,Hydraulics,46,2025-07-06
545,749,Blocked,Critical,Hull,33,2025-08-15
546,213,Blocked,Medium,Power,83,2025-12-21
547,1000,Open,High,Hull,69,2026-05-27
548,674,Closed,High,Hydraulics,80,2026-04-13
549,644,In Progress,Medium,Hydraulics,69,2025-09-22
550,752,Blocked,High,Software,3,2025-11-30
551,1193,Closed,High,Comms,77,2026-03-26
552,618,Blocked,Critical,Software,13,2025-11-01
553,838,Open,Critical,Hydraulics,101,2025-09-28
554,1088,Open,High,Hydraulics,53,2026-02-04
555,344,In Progress,Medium,Comms,95,2025-10-18
556,619,Open,Critical,Power,3,2026-04-11
557,953,Blocked,Low,Hull,104,2025-11-05
558,911,Blocked,Low,Comms,64,2026-04-15
559,1002,Blocked,Medium,Avionics,72,2025-08-02
